run_id,target_id,enable_spoofing,num_targets,noise_std_m,drift_rate_mps,packet_loss_rate_configured,adaptive_ekf_success_threshold_m,ekf_success_rate,rmse_m,interception_time_s,closest_approach_m,intercepted,guidance_efficiency_mps2,spoofing_variance,compute_latency_ms,energy_consumption_j,mission_success_probability,packet_loss_probability,link_snr_db,risk_index_proxy
run_2040181197db,Target_7,False,7,1.2,0.3,0.05,1.875,0.2909090909090909,5.174024324019597,8.6,44.92909469677253,True,15.220972204589787,23.066382336034188,106.97086610365126,1772.2403020821712,0.3682807270228652,0.0,0.0,0.6715446142578047
run_204daec7b31d,Target_1,True,6,1.2,0.3,0.07,2.0250000000000004,0.4375,7.843721856664785,5.3500000000000005,184.7849948481785,True,17.163778366956063,26.969377399217514,117.09610101282856,6222.486022646209,0.41855957573081404,0.07000000000000003,-20.0,0.753509253864753
run_204daec7b31d,Target_2,True,6,1.2,0.3,0.07,2.0250000000000004,0.3958333333333333,2.2841932659467226,5.65,308.7271323321264,True,20.819417719977153,3.663464170861288,117.09610101282856,6981.375079073243,0.5640718601820439,0.07000000000000003,-20.0,0.5162245922541814
run_204daec7b31d,Target_3,True,6,1.2,0.3,0.07,2.0250000000000004,0.8291666666666667,1.6498043059395693,6.95,188.26066583724966,True,22.396093482637962,1.1152131306699622,117.09610101282856,7783.651062293956,0.7480061637775385,0.07000000000000003,-20.0,0.3364635169883601
run_204daec7b31d,Target_4,True,6,1.2,0.3,0.07,2.0250000000000004,0.37916666666666665,5.286466054671704,7.550000000000001,3.1206370416240814,True,30.210757895887006,2.6057594873655985,117.09610101282856,10097.672810902275,0.428806433336506,0.07000000000000003,-14.577519103818997,0.617724590666687
run_204daec7b31d,Target_5,True,6,1.2,0.3,0.07,2.0250000000000004,0.38333333333333336,2.681460910911494,11.100000000000001,168.79510822817974,True,21.788255520226446,2.10562467061202,117.09610101282856,7615.355763798056,0.5168302208329326,0.07000000000000003,-20.0,0.48675479867217186
run_204daec7b31d,Target_6,True,6,1.2,0.3,0.07,2.0250000000000004,0.7875,1.7859365980062762,8.8,231.7096970793851,True,20.73770466032562,1.2163532405563933,117.09610101282856,6583.02749303463,0.7202534236284804,0.07000000000000003,-20.0,0.35422386428835606
run_20d9f2528a9c,Target_1,False,3,0.45,0.3,0.2,1.5656249999999998,0.48333333333333334,4.785098556852443,8.950000000000001,27.606177544938802,True,19.060662855723518,5.703407533434445,109.18148318647454,4334.24125308603,0.42822077576769274,0.19999999999999996,-16.814869599254767,0.6508358786266063
run_20d9f2528a9c,Target_2,False,3,0.45,0.3,0.2,1.5656249999999998,0.3888888888888889,6.505768837468778,8.950000000000001,163.7606259011426,True,14.362646611959049,19.0441393144747,109.18148318647454,3430.4610961236576,0.3971309640816711,0.19999999999999996,-19.999708061381483,0.7154882589859743
run_20d9f2528a9c,Target_3,False,3,0.45,0.3,0.2,1.5656249999999998,0.5055555555555555,1.7438822193046113,8.950000000000001,72.16922723258827,True,20.10948471670048,0.5775582445434815,109.18148318647454,4188.099380080671,0.5934062525977456,0.19999999999999996,-18.525955020361998,0.36964138535809865
run_217e8be67454,Target_1,False,8,0.65,0.33,0.28,1.7854999999999999,0.022727272727272728,9.018058632333561,5.75,187.80301556121836,True,17.403534968015,31.84311948975776,157.73046843514155,1870.3373786450495,0.2931458100824913,0.0,0.0,0.8148519924823532
run_217e8be67454,Target_2,False,8,0.65,0.33,0.28,1.7854999999999999,0.022727272727272728,8.478085654282157,5.9,312.0864745056989,True,17.313153805251787,29.39815412966992,157.73046843514155,1885.951050664432,0.2928443377264021,0.0,0.0,0.8157381914079535
run_217e8be67454,Target_3,False,8,0.65,0.33,0.28,1.7854999999999999,0.17727272727272728,1.337198463551504,8.85,190.0190111182783,True,22.05812035158395,0.5667466912056248,157.73046843514155,2059.4983727034646,0.3421566809568335,0.0,0.0,0.46722177165027634
