run_id,risk_index_p90,risk_index_mean,targets
run_6d00e1dea6e1,0.7499730375305075,0.6471275787546641,3
run_6d6d5c12e936,0.6887585421254565,0.508035710438443,7
run_6d7bddb9997d,0.7957167097949559,0.7015194912739922,5
run_6e33573c05d4,0.6652394927621174,0.5837926376721012,3
run_6f06628945ea,0.12966068345578854,0.10997993655561393,5
run_6f350049d38d,0.6733430480066853,0.5643264276133636,6
run_6f604ff7fd9e,0.8362637529771582,0.7313350110193364,8
run_6fa636cfbdfd,0.7845779608642085,0.6612104447461262,8
run_6fd9e4971120,0.667655940579736,0.5032070594219517,6
run_7047c9f9d963,0.3739572168182127,0.3360944586376861,6
run_707f0192e7c0,0.18896318097096887,0.15136684541419904,3
run_712a5183f44f,0.2493016455583934,0.15083124515805493,5
run_712bd3a99b80,0.6434538503052613,0.5966550962865211,10
run_7151dfede8a6,0.7501884451126609,0.6694679659263559,5
run_71b74d24b1bb,0.7480499243707937,0.6473346697214224,5
